company_name,source,board_ref,active,tier,website,notes
Lever (demo board),lever,lever,true,1,lever.co,verified public board — smoke test
ExampleGreenhouseCo,greenhouse,REPLACE_WITH_GH_TOKEN,false,1,example.com,placeholder — copy this file to config/companies.csv and edit
ExampleAshbySpacedCo,ashby,Example Co,false,1,example-co.com,Ashby board names are display names — single inner spaces are valid
ExampleWorkdayCo,workday,examplewd/wd5/External,false,2,examplewd.com,adapter not built yet — board_ref carries tenant/instance/site for multi-parameter boards
ExampleBambooCo,bamboohr,examplebamboo,false,1,examplebamboo.com,board_ref is the company subdomain; description comes from a per-posting detail call
ExampleRecruiteeCo,recruitee,examplerecruitee,false,1,examplerecruitee.com,board_ref is the company subdomain — not a path fragment like 'career'
ExampleWorkableCo,workable,exampleworkable,false,1,exampleworkable.com,board_ref is the apply.workable.com account slug
ExamplePinpointCo,pinpoint,examplepinpoint,false,1,examplepinpoint.com,board_ref is the company subdomain; Pinpoint publishes no post date
ExampleRipplingCo,rippling,examplerippling,false,1,examplerippling.com,board_ref is the ats.rippling.com board name
ExampleSmartRecruitersCo,smartrecruiters,ExampleSR,false,1,examplesr.com,board_ref is the company identifier; the postings list is paginated
Ashby (demo board),ashby,ashby,true,1,ashbyhq.com,verified public board — smoke test
